symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
ETHUSDT,sig_price_mr,selection,15,1.5,6246,0.00016241710143989515,-0.0008375828985601051,-0.0008886922064515459,0.3621517771373679,-13.661752641307324
ETHUSDT,sig_price_mr,holdout,15,1.5,2957,0.00011556669856462239,-0.0008844333014353779,-0.001,0.3016570848833277,-13.175170392702
ETHUSDT,sig_price_mr,selection,15,2.0,3084,0.000207934703393531,-0.0007920652966064693,-0.0008870358576546491,0.3719195849546044,-8.365064636913853
ETHUSDT,sig_price_mr,holdout,15,2.0,1451,0.00020276629499469854,-0.0007972337050053017,-0.0009599294758775292,0.32184700206753963,-7.873371939377678
ETHUSDT,sig_price_mr,selection,15,2.5,1630,0.0002369313400327804,-0.0007630686599672201,-0.0008489387030156106,0.37975460122699384,-5.2113771912191496
ETHUSDT,sig_price_mr,holdout,15,2.5,734,0.00025243553377067964,-0.0007475644662293206,-0.0010245793209467937,0.32697547683923706,-4.95925213288087
ETHUSDT,sig_price_mr,selection,30,1.5,6246,0.0002778827049030519,-0.0007221172950969485,-0.0008938299994210022,0.39929554915145693,-8.361929746163323
ETHUSDT,sig_price_mr,holdout,30,1.5,2956,0.00030272921695069586,-0.0006972707830493044,-0.000919341687298846,0.36502029769959404,-7.766594391039132
ETHUSDT,sig_price_mr,selection,30,2.0,3084,0.0003653099443008727,-0.0006346900556991279,-0.0007909702405055055,0.4166666666666667,-4.701639739292693
ETHUSDT,sig_price_mr,holdout,30,2.0,1451,0.0004613777534868539,-0.0005386222465131464,-0.0008884621353196778,0.3852515506547209,-3.9986989968323003
ETHUSDT,sig_price_mr,selection,30,2.5,1630,0.00034275265020123117,-0.0006572473497987694,-0.0007827642723924324,0.41840490797546015,-3.225343765062454
ETHUSDT,sig_price_mr,holdout,30,2.5,734,0.000644692040666936,-0.00035530795933306445,-0.0009205942837650629,0.3991825613079019,-1.7179252750050054
ETHUSDT,sig_price_mr,selection,60,1.5,6246,0.00037874692160421244,-0.0006212530783957881,-0.0008288428060839728,0.430835734870317,-5.481929890341147
ETHUSDT,sig_price_mr,holdout,60,1.5,2955,0.00035586562302766453,-0.0006441343769723359,-0.0009215713613469614,0.39526226734348563,-5.179996128980645
ETHUSDT,sig_price_mr,selection,60,2.0,3084,0.00043116455708815885,-0.0005688354429118417,-0.0007981123484198096,0.4345006485084306,-3.3652664734603532
ETHUSDT,sig_price_mr,holdout,60,2.0,1451,0.0006445454340717155,-0.000355454565928285,-0.0009279647027043971,0.39696760854583046,-2.000604112525785
ETHUSDT,sig_price_mr,selection,60,2.5,1630,0.00040938569997448534,-0.0005906143000255153,-0.0009585480399038051,0.4263803680981595,-2.404015218017496
ETHUSDT,sig_price_mr,holdout,60,2.5,734,0.0011404180454319545,0.000140418045431954,-0.0009169101652206626,0.4032697547683924,0.5195057513932685
ETHUSDT,sig_funding_contra,selection,15,1.5,2686,-1.9707230834545387e-05,-0.0010197072308345458,-0.0009624447141909345,0.35443037974683544,-13.36961451675957
ETHUSDT,sig_funding_contra,holdout,15,1.5,1420,6.277274654714881e-05,-0.0009372272534528515,-0.0009913516804818103,0.3049295774647887,-9.516579312672807
ETHUSDT,sig_funding_contra,selection,15,2.0,1406,-0.00010668879372061306,-0.0011066887937206135,-0.0010502993132982521,0.3406827880512091,-10.760152814636863
ETHUSDT,sig_funding_contra,holdout,15,2.0,579,2.0480232371132065e-05,-0.0009795197676288683,-0.0010309208858214616,0.3592400690846287,-4.736863829628835
ETHUSDT,sig_funding_contra,selection,15,2.5,722,-0.00011399685419914295,-0.0011139968541991434,-0.0009619070584380709,0.32409972299168976,-7.826592461583459
ETHUSDT,sig_funding_contra,holdout,15,2.5,573,2.173519140347213e-05,-0.0009782648085965284,-0.0010314026956073077,0.35776614310645727,-4.6868018006738055
ETHUSDT,sig_funding_contra,selection,30,1.5,2686,-0.0001121779572815616,-0.0011121779572815622,-0.001,0.3901712583767684,-10.199508265367124
ETHUSDT,sig_funding_contra,holdout,30,1.5,1420,0.00017914523242848815,-0.0008208547675715123,-0.0009661269641779704,0.3598591549295775,-5.823999079791455
ETHUSDT,sig_funding_contra,selection,30,2.0,1406,-0.0002981369806084452,-0.0012981369806084457,-0.0010394142845668855,0.38193456614509247,-8.854799132434362
ETHUSDT,sig_funding_contra,holdout,30,2.0,579,0.00013370642475095116,-0.0008662935752490495,-0.0011248428701805526,0.37823834196891193,-2.91786469587381
ETHUSDT,sig_funding_contra,selection,30,2.5,722,-0.0003578186033249924,-0.0013578186033249928,-0.0010157549785732014,0.37534626038781166,-6.534471939258816
ETHUSDT,sig_funding_contra,holdout,30,2.5,573,0.00011074249157681456,-0.0008892575084231861,-0.0011459352734138886,0.3769633507853403,-2.969900479339695
ETHUSDT,sig_funding_contra,selection,60,1.5,2686,-0.0001708058515431888,-0.0011708058515431895,-0.0010032121805887409,0.40841399851079674,-7.654997208620804
ETHUSDT,sig_funding_contra,holdout,60,1.5,1420,0.00033544527797933185,-0.0006645547220206687,-0.0008559275888915798,0.41619718309859155,-3.3368667120423146
ETHUSDT,sig_funding_contra,selection,60,2.0,1406,-0.0007149717698888022,-0.0017149717698888027,-0.0013039374807329853,0.38549075391180654,-8.303418083316028
ETHUSDT,sig_funding_contra,holdout,60,2.0,579,0.00013657650053968074,-0.00086342349946032,-0.001208610267506404,0.4317789291882556,-2.0308208715679266
ETHUSDT,sig_funding_contra,selection,60,2.5,722,-0.0009497036619947323,-0.0019497036619947328,-0.001280813526096435,0.3850415512465374,-6.421942723239463
ETHUSDT,sig_funding_contra,holdout,60,2.5,573,0.00012995283265443365,-0.0008700471673455672,-0.001208610267506404,0.4328097731239092,-2.0264589519517893
ETHUSDT,sig_flow_cont,selection,15,1.5,6866,2.1096088791931753e-05,-0.0009789039112080686,-0.0010702226751631563,0.29522283716865716,-23.72430899899925
ETHUSDT,sig_flow_cont,holdout,15,1.5,3520,3.552178833145738e-05,-0.000964478211668543,-0.0010974280596438004,0.2505681818181818,-22.69632426924801
ETHUSDT,sig_flow_cont,selection,15,2.0,2510,-3.60713069771018e-05,-0.0010360713069771021,-0.0010501848304451103,0.2800796812749004,-16.175450300738973
ETHUSDT,sig_flow_cont,holdout,15,2.0,1292,0.00011957279627460002,-0.0008804272037254003,-0.0010655756698247356,0.25077399380804954,-12.769444081835637
ETHUSDT,sig_flow_cont,selection,15,2.5,887,-0.0001326527682992745,-0.001132652768299275,-0.0011270715306822545,0.2525366403607666,-12.23299093132864
ETHUSDT,sig_flow_cont,holdout,15,2.5,389,9.928908390784738e-05,-0.000900710916092153,-0.001086385998557481,0.23393316195372751,-7.4490521631587825
ETHUSDT,sig_flow_cont,selection,30,1.5,6866,-1.533238695610735e-05,-0.0010153323869561079,-0.0010891179944761955,0.3429944654820856,-18.02369889323318
ETHUSDT,sig_flow_cont,holdout,30,1.5,3520,-9.646362922173901e-06,-0.0010096463629221742,-0.0011695779827266542,0.2872159090909091,-16.365610739107332
ETHUSDT,sig_flow_cont,selection,30,2.0,2510,2.0856547764802526e-05,-0.0009791434522351979,-0.0010272608203018,0.3430278884462151,-10.91625792622819
ETHUSDT,sig_flow_cont,holdout,30,2.0,1292,-2.6850736607482874e-05,-0.001026850736607483,-0.0011849078126447412,0.2894736842105263,-10.030503674284583
ETHUSDT,sig_flow_cont,selection,30,2.5,887,-0.00012214893516411375,-0.0011221489351641142,-0.0011041005544193397,0.3246899661781285,-8.798818264582641
ETHUSDT,sig_flow_cont,holdout,30,2.5,389,-0.00014593663894235694,-0.0011459366389423573,-0.001254773769529093,0.2467866323907455,-7.632721130369899
ETHUSDT,sig_flow_cont,selection,60,1.5,6866,-5.851990327613113e-05,-0.0010585199032761318,-0.001125253488327648,0.38319254296533645,-13.472337984943406
ETHUSDT,sig_flow_cont,holdout,60,1.5,3519,3.226540235133363e-05,-0.0009677345976486668,-0.0010740112102313173,0.3537936913895993,-11.097663006521493
ETHUSDT,sig_flow_cont,selection,60,2.0,2510,4.5037189483351416e-05,-0.000954962810516649,-0.0009490414480866063,0.38286852589641435,-7.7210475225022845
ETHUSDT,sig_flow_cont,holdout,60,2.0,1292,2.9224285838477108e-05,-0.0009707757141615232,-0.0011198926929960598,0.33359133126934987,-6.625504491034602
ETHUSDT,sig_flow_cont,selection,60,2.5,887,-6.160243127745156e-05,-0.0010616024312774522,-0.0009659475933462272,0.36753100338218714,-5.977205349076771
ETHUSDT,sig_flow_cont,holdout,60,2.5,389,-0.00016613275738525183,-0.0011661327573852522,-0.0011948842874544,0.3033419023136247,-5.2706548101581125
